Dataset	Sample.ID	Sample.Name	Label	R1	R2	md5sum.R1	md5sum.R2	Summary.File	Read.Length	X	X.1
HumanAndMouseOptimization_NovaSeq_20171205	MH-5	N2a T6_Lb_A	N2A_Lb_T6A	Blencowe_1_MH-5_S1_R1_001.fastq.gz	Blencowe_1_MH-5_S1_R2_001.fastq.gz	2fed71c28d92a36706beb2c8c2245b0b	5f7d86c8bf666a9970849969f855ee3d	Blencowe_1_MH-5_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-6	N2a T6_Lb_B	N2A_Lb_T6B	Blencowe_2_MH-6_S2_R1_001.fastq.gz	Blencowe_2_MH-6_S2_R2_001.fastq.gz	215619cd4e6e043431f6e6ef56386408	f03e8fd322146d49fd72797eb85029bb	Blencowe_2_MH-6_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-7	N2a T6_Lb_C	N2A_Lb_T6C	Blencowe_3_MH-7_S3_R1_001.fastq.gz	Blencowe_3_MH-7_S3_R2_001.fastq.gz	0db7bb50fb0ba1c487b7f544e359ad06	86621956022f4042e33286d3482e8ee0	Blencowe_3_MH-7_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-8	CGR8 T6_Lb_A	CGR8_Lb_T6A	Blencowe_4_MH-8_S4_R1_001.fastq.gz	Blencowe_4_MH-8_S4_R2_001.fastq.gz	583d907d9d8f57e0905abd4056e260ba	c9738a700f37be83f468a6788336faa6	Blencowe_4_MH-8_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-9	CGR8 T6_Lb_B	CGR8_Lb_T6B	Blencowe_5_MH-9_S5_R1_001.fastq.gz	Blencowe_5_MH-9_S5_R2_001.fastq.gz	bb5dc892f35ecaa0eac66b0eeb0a4769	bd9a0dedfb27ef11a241a89fc1fb0b8f	Blencowe_5_MH-9_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-10	CGR8 T6_Lb_C	CGR8_Lb_T6C	Blencowe_6_MH-10_S6_R1_001.fastq.gz	Blencowe_6_MH-10_S6_R2_001.fastq.gz	c35f5cddb23ec078b35e1a1f25bf6c8c	a4e0c0f6d7ebcedd8d4ab9059e01de59	Blencowe_6_MH-10_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-17	N2a T12_Lb_A	N2A_Lb_T12A	Blencowe_7_MH-17_S7_R1_001.fastq.gz	Blencowe_7_MH-17_S7_R2_001.fastq.gz	412c047fcfa7f62326fba32371589af2	a12b740ec140717a83e69dc4846055b6	Blencowe_7_MH-17_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-18	N2a T12_Lb_B	N2A_Lb_T12B	Blencowe_8_MH-18_S8_R1_001.fastq.gz	Blencowe_8_MH-18_S8_R2_001.fastq.gz	881cbc08b16e9d9035de47c19b92c94c	f0b72ca2c86e8a9849b026936910a139	Blencowe_8_MH-18_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-19	N2a T12_Lb_C	N2A_Lb_T12C	Blencowe_9_MH-19_S9_R1_001.fastq.gz	Blencowe_9_MH-19_S9_R2_001.fastq.gz	eb3efdcda9a74161e6850bcfe2cd5af3	3937ccdd2b26c52738d935c63d322862	Blencowe_9_MH-19_counts.txt	151bp	151bp	Illumina NovaSeq5000
HumanAndMouseOptimization_NovaSeq_20171205	MH-23	N2a T12_As_A	N2A_As_T12A	Blencowe_10_MH-23_S10_R1_001.fastq.gz	Blencowe_10_MH-23_S10_R2_001.fastq.gz	41e5c9f71c1d4e45f43a9fa358bdaa20	a6c9ceb1567a053b64752799ed768513	Blencowe_10_MH-23_counts.txt	151bp	151bp	Illumina NovaSeq5000
